% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:48
% Table:              Table 2 - tu_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
380                                               5809.147776564767+14397.018525058083i             5810.222033355817+14396.468456370403i             5811.235141405242+14396.039894886384i             5812.186301390599+14395.355282315135i             5813.074625426219+14394.717733566196i
385                                               5955.088601908001+14549.426312206668i             5956.1716268981345+14548.79371707484i             5957.1876964083285+14548.285711484581i            5958.13615608896+14547.519888056948i              5959.016291913412+14546.803761797208i
390                                               6102.553929024369+14700.435097043086i             6103.640643886394+14699.716734117792i             6104.654376532249+14699.126452507126i             6105.594646464203+14698.277000380282i             6106.460945572561+14697.480307931644i
395                                               6251.526775403223+14850.02977076689i              6252.611734873662+14849.222654637199i             6253.617484698306+14848.547553410217i             6254.543749476697+14847.612373907226i             6255.390261472836+14846.733474996894i
400                                               6401.989828971938+14998.195607496842i             6403.067229455064+14997.297040457002i             6404.05901460318+14996.534895872514i              6404.9651477112475+14995.51224054797i             6405.785638262127+14994.549873636619i
405                                               6553.925463807073+15144.91827724186i              6554.989154304342+15143.925881185796i             6555.960671134621+15143.074820784666i             6556.840252247603+15141.963322121517i             6557.628223548582+15140.916634105593i
410                                               6707.315755515246+15290.183858056576i             6708.359250910877+15289.095606377534i             6709.303890556211+15288.154140157325i             6710.150225340667+15286.952841739587i             6710.898939091794+15285.82141684243i
415                                               6862.142496225277+15433.97884762251i              6863.158992999264+15432.793096975736i             6864.069860403486+15431.760148148518i             6864.876002822552+15430.468534151267i             6865.578505721245+15429.252421847948i
420                                               7018.387209185593+15576.290174480917i             7019.369603614591+15575.00569626375i              7020.239539091291+15573.880631459973i             7020.998316233302+15572.498655263193i             7021.647467977598+15571.198397031048i
425                                               7176.031163067817+15717.10520913115i              7176.972071954738+15715.721220522879i             7177.793675275169+15714.50387924692i              7178.497714723034+15713.031991029788i             7179.086218505287+15711.648645772537i
430                                               7335.055386014971+15856.41177521277i              7335.947169992616+15854.927969612043i             7336.712827064332+15853.618692790666i             7337.35458678756+15852.057865896788i              7337.875022255042+15850.593033815238i
