% Model:              ParameterStudy_2Array_r1u_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 29 2017, 17:16
% Table:              Table 4 - r1u_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*a (N)                       g=0.04, acpr.p_t*2*pi*a (N)                       g=0.06, acpr.p_t*2*pi*a (N)                       g=0.08, acpr.p_t*2*pi*a (N)                       g=0.1, acpr.p_t*2*pi*a (N)                        g=0.12, acpr.p_t*2*pi*a (N)                       g=0.14, acpr.p_t*2*pi*a (N)                       g=0.16, acpr.p_t*2*pi*a (N)                       g=0.18, acpr.p_t*2*pi*a (N)                       g=0.2, acpr.p_t*2*pi*a (N)
1015                                              62046.895860244615+125710.7586824578i             62326.6191203317+125907.4173071679i               62607.91885350928+126055.64220390744i             62884.306386257915+126152.73933095137i            63149.80347701719+126200.49678533923i             63399.66465746883+126205.40100741813i             63629.9440045283+126174.65033268344i              63837.53191280708+126110.27724996067i             64020.01059812714+126021.9367771256i              64176.03907378238+125912.57748275607i
1020                                              62483.862113288575+126090.65920113894i            62769.68344917912+126285.87690175907i             63056.403725956676+126431.74013579683i            63337.43602375796+126525.68110910375i             63606.72761475374+126569.6484124948i              63859.490133303+126570.30366669751i               64091.75981213012+126535.02098998574i             64300.43353186812+126465.97640177087i             64483.12137956515+126372.99913015202i             64638.533687471405+126259.16003709927i
1025                                              62920.90781970195+126468.31718708263i             63212.86903008568+126661.98359633019i             63505.02713030816+126805.3733311646i              63790.69754243503+126896.04911188285i             64063.754341945016+126936.12424163605i            64319.36816312984+126932.43922957395i             64553.55983909908+126892.54727887458i             64763.23565467257+126818.77073797354i             64946.03688617023+126721.11532045389i             65100.72876438438+126602.77570120247i
1030                                              63357.99394206029+126843.74864460745i             63656.135859847374+127035.75103410416i            63953.7478585569+127176.55351221608i              64244.04836808726+127263.85363327168i             64520.83964394372+127299.93367211554i             64779.253309374595+127291.81675780677i            65015.29733786855+127247.23848770541i             65225.89043325061+127168.67032663463i             65408.70847450359+127066.29672036698i             65562.57525995497+126943.43762780743i
1035                                              63795.082302210714+127216.97253165545i            64099.4446672334+127407.19573033268i              64402.52531629459+127545.29519606491i             64697.44643247654+127629.10768907511i             64977.939917141804+127661.08875513743i            65239.10046484934+127648.44789718873i             65476.925826379695+127599.10642158218i            65688.35023723694+127515.68768494096i             65871.08768864788+127408.55708066084i             66024.02430533196+127281.16127226585i
1040                                              64232.13586204524+127588.01068397547i             64542.75718184023+127776.33700612414i             64851.319779524856+127911.61563778052i            65150.85041815524+127991.82696856376i             65435.01220172909+128019.60415359933i             65698.86507347287+128002.3468449646i              65938.39929680323+127948.16537710687i             66150.56785065254+127859.83775972301i             66333.12644519984+127747.912516491i               66485.02738061175+127615.96438319267i
1045                                              64669.11899715926+127956.8877124791i              64986.03639645431+128143.19689668888i             65300.09264582581+128275.53474919489i             65604.2199982966+128352.02976341135i              65892.01441020222+128375.49708052294i             66158.50334745098+128353.53029710893i             66399.67242141027+128294.43209772553i             66612.49666647859+128201.13789054625i             66794.77721651582+128084.38147730542i             66945.5364868627+127947.86697835758i
1050                                              65105.99776007864+128323.63087425461i             65429.24682037167+128507.80003465252i             65748.80667738256+128637.0749940741i              66057.5160694589+128709.7368742064i               66348.90554969443+128728.78721635089i             66617.97247913605+128702.01737590237i             66860.70075386215+128637.92571082752i             67074.09087742746+128539.60775561909i             67255.99321091022+128417.98470076272i             67405.5043156568+128276.89130577553i
1055                                              65542.74013113198+128688.26991838493i             65872.35472121267+128870.17350941728i             66197.42623381292+128996.26126045112i             66510.70097508821+129064.9714953778i              66805.6459361113+129079.49660593034i              67077.23084566163+129047.82953825887i             67321.44092427871+128978.66764686884i             67535.30566122124+128875.26930091264i             67716.72854822973+128748.74515108693i             67864.88441483885+128603.06179049339i
1060                                              65979.31625416025+129050.83690802538i             66315.32835308475+129230.34670358642i             66645.91749238067+129353.12071125893i             66963.7387177727+129417.75907940984i              67262.19739814782+129427.64953580356i             67536.23820455479+129390.99046560343i             67781.85082632935+129316.68154108513i             67996.09735910826+129208.14665301015i             68176.93842947931+129076.68794231681i             68323.63134914913+128926.4049672475i
