% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 16 2017, 08:14
% Table:              Table 2 - r1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
225                                               4278.3669005944585+16511.766009465777i            4278.2594231818475+16512.75812678862i             4278.173536609635+16513.721597082822i             4278.108338754409+16514.66974870798i              4278.062935682902+16515.568954239054i             4278.036383249502+16516.425172545907i             4278.028154356543+16517.294702959694i             4278.037183342346+16518.09330260357i              4278.062769693658+16518.86782345251i              4278.104288610202+16519.628679908856i
230                                               4461.744957675713+16840.654110952935i             4461.655353425738+16841.709901069677i             4461.5891906456945+16842.734898300892i            4461.5454606902695+16843.742732636576i            4461.523165415992+16844.698959600173i             4461.521250600672+16845.60966806809i              4461.539117533026+16846.5324895643i               4461.575581805898+16847.381164899558i             4461.629855407376+16848.20365908781i              4461.701234541004+16849.010631826583i
235                                               4648.443101711675+17167.288266862535i             4648.375263799495+17168.410206648892i             4648.332787855854+17169.49898920699i              4648.314548091529+17170.568548734806i             4648.319431809652+17171.58362094647i              4648.346264002033+17172.550427228227i             4648.394366267132+17173.527939078514i             4648.4624243848675+17174.427873694673i            4648.54955390123+17175.299317091078i              4648.654963746948+17176.15317781256i
240                                               4838.428915331331+17491.63925271552i              4838.387049832225+17492.829685373265i             4838.372529037277+17493.984360322334i             4838.384098602986+17495.117519138483i             4838.420520144165+17496.193075371604i             4838.480486417174+17497.217386066528i             4838.563230612258+17498.250771205014i             4838.667296882653+17499.2029174404i               4838.791694779274+17500.124040566792i             4838.93553709563+17501.025302214868i
245                                               5031.670122144532+17813.678171482734i             5031.658748007095+17814.939282620835i             5031.6767543858305+17816.16178141722i             5031.722746145518+17817.360220665316i             5031.7953472819645+17818.49768988032i             5031.893106082469+17819.580685638328i             5032.015157984747+17820.6708857335i               5032.159892911154+17821.67593977773i              5032.326204277069+17822.647203061035i             5032.513099284747+17823.596095268138i
250                                               5228.1345524504395+18133.376405845756i            5228.158499977847+18134.710199180317i             5228.213906117537+18136.002253107876i             5228.299221874275+18137.267436217695i             5228.412920865297+18138.468012705034i             5228.553393898433+18139.610623363726i             5228.71966865867+18140.75831402283i               5228.909967463606+18141.816691304793i             5229.123056836969+18142.838260716428i             5229.357828361562+18143.834705821464i
255                                               5427.790104563807+18450.705578348112i             5427.854512340723+18452.113851109563i             5427.952486636513+18453.476966512182i             5428.082310665821+18454.810114371387i             5428.242294062801+18456.07473292838i              5428.430656358526+18457.277612804297i             5428.646306828734+18458.4831790883i               5428.887286030205+18459.59499007317i              5429.152222249682+18460.66671334136i              5429.439880851142+18461.710303077303i
260                                               5630.604702899913+18765.63751953081i              5630.715013197527+18767.121837671442i             5630.8610134858545+18768.557271103662i            5631.040804381925+18769.95933724162i              5631.252517077895+18771.288648505324i             5631.494185240728+18772.55215197125i              5631.764588445649+18773.815664303846i             5632.061570535579+18774.98069086694i              5632.383609657753+18776.102074383998i             5632.72933379514+18777.192047439406i
265                                               5836.546254004346+19078.144244039322i             5836.7082066352705+19079.705917318308i            5836.907972194853+19081.214650694365i             5837.143453032221+19082.686296606822i             5837.412586581995+19084.08064265347i              5837.7132052720435+19085.404800109376i            5838.043947041911+19086.725990752686i             5838.4024433068425+19087.943663227445i            5838.787009619158+19089.11384980995i              5839.196124908567+19090.249070404556i
270                                               6045.582601585659+19388.19793457995i              6045.802226192586+19389.837991615797i             6046.0617681517015+19391.420707457564i            6046.358914983548+19392.96227815169i              6046.691394196655+19394.42166844639i              6047.056820833643+19395.80616281316i              6047.453678655682+19397.18440298815i              6047.879370176729+19398.453778049137i             6048.332035399898+19399.671525685768i             6048.809992030104+19400.850463272865i
275                                               6257.681481633717+19695.770933473636i             6257.965088426199+19697.490096844424i             6258.290678531879+19699.147153690636i             6258.655707232598+19700.758653556048i             6259.057675072864+19702.282741382944i             6259.49396282247+19703.726885210122i              6259.962886944423+19705.16116300823i              6260.461603836694+19706.480902488685i             6260.9880645434705+19707.744564177887i            6261.540412935039+19708.96527444317i
280                                               6472.810478522064+20000.835741486593i             6473.164647466979+20002.63440292728i              6473.562805284468+20004.36581102053i              6474.002156742883+20006.04688009396i              6474.479957564035+20007.634939545464i             6474.993336642468+20009.137652837737i             6475.540429467722+20010.62655200445i              6476.118128417272+20011.99490276467i              6476.724181771138+20013.302407593463i             6477.356546566768+20014.56251482692i
285                                               6690.93698308447+20303.365023488943i              6691.368551537001+20305.24321928777i              6691.846030036134+20307.04861657105i              6692.366353742028+20308.798507292264i             6692.926514882825+20310.449410898942i             6693.523372209121+20312.009199749027i             6694.154866052597+20313.55087946492i              6694.8176062285265+20314.96565441499i             6695.509124110741+20316.31448994969i              6696.22717658303+20317.611170952427i
290                                               6912.0281534043925+20603.331620430577i            6912.544202186625+20605.289007047428i             6913.107971768204+20607.167635582573i             6913.716107806642+20608.985190113108i             6914.365319589691+20610.697387208795i             6915.052176828475+20612.312323340993i             6915.7744100882755+20613.904499055716i            6916.528327475571+20615.363059424868i             6917.311229079892+20616.750255545638i             6918.120658065234+20618.08022512359i
295                                               7136.050879102459+20900.708567017387i             7136.658717050479+20902.744397033424i             7137.315947993498+20904.695079861758i             7138.018907455865+20906.578708047244i             7138.764001601548+20908.350203923208i             7139.5474916661+20910.017905211986i               7140.366883458153+20911.657830641485i             7141.218163714548+20913.157069593213i             7142.09838670124+20914.579183839272i              7143.004868147772+20915.938681994015i
300                                               7362.97174974823+21195.469114449126i              7363.678896693506+21197.582212862257i             7364.436940053935+21199.60333141684i              7365.241883896335+21201.5509894252i               7366.089810419687+21203.379325384845i             7366.976652451828+21205.09693742575i              7367.89967577636+21206.781387796305i              7368.854525655545+21208.317715450314i             7369.837995946078+21209.770819955545i             7370.847161190921+21211.15560087498i
305                                               7592.757027935443+21487.58675747214i              7593.5711961375455+21489.77549841101i             7594.437563097393+21491.864970513678i             7595.351779478701+21493.874140268672i             7596.309582054035+21495.756374614215i             7597.306554938203+21497.520553417835i             7598.339708424852+21499.245810001285i             7599.404325855785+21500.815139950588i             7600.496926172361+21502.294810070667i             7601.614329033783+21503.700132955484i
310                                               7825.37262746776+21777.03526497357i               7826.301701491849+21779.297548902145i             7827.2840411602965+21781.452807404243i            7828.31492123713+21783.520476833888i              7829.389711106429+21785.453166862655i             7830.503625559259+21787.260062754154i             7831.6534038678+21789.02189879903i                7832.833946751659+21790.61963619049i              7834.041483951792+21792.12094085287i              7835.2725667651175+21793.54156267883i
315                                               8060.784096987793+22063.788713336224i             8061.836112005914+22066.12194477572i              8062.94218767589+22068.339916920388i              8064.097199913131+22070.462561099463i             8065.296128316799+22072.441746187946i             8066.533797599641+22074.286988957894i             8067.806660496935+22076.08065705141i              8069.109214310561+22077.70168829061i              8070.43738564782+22079.219182167864i              8071.78744430436+22080.64935241495i
320                                               8298.956609296174+22347.821521689653i             8300.139727793798+22350.222587536922i             8301.377391637645+22352.499675094565i             8302.664054617408+22354.67323835095i              8303.994283823273+22356.69442417029i              8305.36249308222+22358.573109558787i              8306.764833282274+22360.39333049902i              8308.195377523009+22362.032014647306i             8309.649735872263+22363.559732181755i             8311.123884016273+22364.99318960902i
325                                               8539.85495642388+22629.108488261212i              8541.177443323173+22631.573736759932i             8542.554609551607+22633.905796996416i             8543.980463278784+22636.12567603277i              8545.44913617135+22638.18381997684i               8546.954610492128+22640.09049754766i              8548.49272028558+22641.931450788445i              8550.057093849504+22643.581612700178i             8551.643012016079+22645.113064059693i             8553.246144426863+22646.54303556332i
